Country,Year,Forest_Loss_Area_km2,Tree_Cover_Loss_percent,CO2_Emission_mt,Rainfall_mm,Population,GDP_Billion_USD,Agriculture_Land_Percent,Deforestation_Policy_Strictness,Corruption_Index,International_Aid_Million_USD,Illegal_Lumbering_Incidents,Protected_Areas_Percent
Australia,2017,2331,9.490630272572705,181,1524.369732496114,5300192,79.60147322571439,22.572693563227528,3,4.307201789385317,388,33,16.918004834036992
Russia,2005,3107,9.890455683624882,372,1133.219593489924,6020012,1305.2120912397415,34.51978375219444,1,57.844511019265376,352,172,18.29721590435248
Australia,2008,2260,7.260625883736796,419,2078.481422498897,56243511,418.339569904554,39.16046315860538,2,52.21568359241634,374,40,22.796969194476535
Russia,2014,2687,9.888324465343683,445,2242.4310490671564,90230284,3689.782650449355,38.564826710113266,2,9.649347558526443,140,2,8.548866564863761
Indonesia,2015,3500,5.559718552648867,22,1047.7324170566608,80992847,4269.170795508058,15.929000830932468,2,54.13712713301485,450,175,14.238731901365984
Russia,2004,807,9.080558272872945,276,1532.2663974635386,78566919,4511.344387717305,51.11662688241343,4,72.68987860440255,488,141,27.260894210130118
Australia,2017,2731,4.423873809285664,221,1163.1535380822436,71806211,1422.9370935194177,16.584470543450145,2,55.745936403340664,146,164,24.152942421957476
Australia,2016,555,8.29223527911817,135,1684.7568705395452,46490201,2632.956856567248,59.639636787035556,1,35.47312860195705,184,126,19.440046092133464
Australia,2011,1628,4.394195984647567,339,1634.389817241126,48033134,2831.1292881854542,15.661586954092872,1,79.849456782617,217,22,15.967921827097094
India,2024,4525,2.7725951494075973,70,1732.2188703226284,27718434,2920.930212079861,37.63164393277082,1,38.47133148099462,373,1,8.384729512099844
Brazil,2005,4850,7.353586665083376,194,1741.2427212171274,92021831,4206.884367723248,23.643564739658853,2,88.23400431858119,52,161,19.4906719697093
Australia,2015,3083,4.018031022776007,449,2554.974979471276,8377806,1762.9447356019868,50.33959566806088,4,64.15329820263638,168,194,25.016339348328128
Indonesia,2000,1110,2.5174411563174384,156,1635.2179820346087,66466680,1606.871197017303,39.56912484850681,4,40.86974645560456,360,85,18.01515596845283
Russia,2021,3533,3.0836982870998932,220,1256.2098340886923,62247292,1485.1420720806746,13.372593418693643,2,37.87725842290565,229,61,11.772582134935597
Russia,2017,4767,4.476272641176108,113,2695.7054397952834,38073807,680.566871051706,46.425740867012244,2,65.24254936940902,421,99,6.286907988375843
Russia,2023,2755,3.407450763568993,67,1938.5057494871216,3904750,1354.2054327774779,52.21865315160553,2,97.03553841945258,485,4,6.800774151055945
Australia,2014,3245,7.952610802240816,477,2936.943105887319,16291246,1334.8393499160288,34.34431738734541,3,45.84240699636807,217,153,21.47305231911655
Brazil,2012,1589,9.618880983543555,410,1744.3102587750996,27778724,3275.49943519845,28.836274774831907,1,51.64315805722887,478,58,23.960927005176792
Brazil,2019,3912,8.387304326822342,127,2037.7062130877327,46402174,3734.9773661824206,40.63837066613552,3,54.16458605538188,32,105,14.872667256915324
Russia,2001,3820,3.5785029677514606,489,1730.8310706072434,99338916,2927.2486820977183,29.05175340192335,4,89.63282204112912,222,67,22.04829171273682
India,2019,4799,7.717700237847044,74,2270.278913525931,71053006,1023.1517544701669,11.557530562136854,3,94.28694155342447,351,138,8.584689146878265
Australia,2007,1721,3.723445535569026,16,2867.9386915187333,12924114,2281.701269690077,13.305845693013993,2,35.009875352360176,61,183,6.627827907140764
Russia,2007,2540,3.4739908006258564,275,2873.863491333165,7765824,4758.397576812435,12.647920824636003,1,40.248914781710084,210,9,8.977294227156783
Australia,2003,4058,2.1395276893873536,24,2768.8635051285523,42514510,4088.5942356740416,10.452803845195609,1,18.002395226717162,451,130,16.998308555391016
Brazil,2020,3704,7.694479205993967,195,2920.652667990523,95818426,4789.689130045267,29.792739919694025,4,60.06611282497064,465,123,6.18856684773384
India,2015,951,8.630708388172996,328,1485.246666174333,49852598,4010.5266134290077,23.684538639233388,4,20.946132250997916,54,17,15.28383944934166
Australia,2011,4576,6.878750624874516,218,1441.8633851251043,67119373,2937.811078879016,49.0026892622233,3,25.050303285480744,413,77,21.97007052338226
India,2005,873,6.743057731286459,26,1454.8385161051913,34942984,441.07230031370887,49.30958549526782,2,27.352222283256676,272,54,18.331828230935486
Australia,2011,2982,6.143944700969624,45,2807.2987649563674,18023618,3747.9667800245797,38.100816990410536,3,10.356224316731556,466,58,19.28111695915809
Indonesia,2024,3682,9.568818685571237,387,2995.4710072348707,10181958,732.7263962984571,30.573693356238465,4,56.61353188774048,73,79,26.047635199957345
India,2014,4116,7.034149330206992,342,2389.3141200424843,24100424,3316.6147818558275,19.10834667568237,3,86.6858133446154,155,138,19.484492829317066
Australia,2001,1544,9.767486509010801,10,1694.7314687989065,42784297,2286.9378362396887,59.27310845473819,2,81.69077766709515,389,137,7.934996647293636
India,2017,3973,8.558266704739925,338,2608.7260098556308,8615590,4904.777153533228,36.471052104920986,3,65.62785520612331,8,35,17.69118288754785
Russia,2019,4232,8.511236524750077,52,1141.268785786434,41527621,1421.5756820942745,30.911709239524477,1,96.47158111597993,444,39,21.48751503955694
Russia,2016,1335,3.810959651907702,310,1524.6466009435317,29103898,2567.1988532724044,18.10931383007133,1,97.08227753037701,472,38,17.367705523284357
Indonesia,2006,3864,9.59138375614599,248,2809.143590594461,61093649,866.5803157198804,41.598178428055284,4,38.36036219122205,465,164,22.713604279689864
Australia,2004,4538,3.801375144306512,248,1410.2929158397578,62317363,2764.8554981856587,49.42988661176488,4,87.57696799367719,74,183,6.320179128424193
Australia,2023,3107,6.523025187677831,26,2611.686077345977,90171086,4352.27128299818,47.80300630283203,1,55.56604066077092,490,124,11.79900819613693
Indonesia,2012,1876,8.406419647922922,25,2280.737621051864,48875254,2539.0488551299914,29.597995049706935,1,41.00566061225568,370,135,8.552120121549082
Brazil,2018,2437,6.155133267857189,332,2498.4379241331644,79538677,673.4115287546016,57.687811856887095,4,49.0787837904648,344,113,15.546682068119742
Australia,2009,530,6.728843765216016,153,1731.7381555068537,69332301,229.52817942234995,28.20740320136679,4,68.45833919851297,123,155,13.562052764136386
Australia,2007,3680,3.1654518216572214,462,1336.9174412074049,85005431,210.9969175157343,35.295515643517064,2,63.10538663118458,81,37,27.446841252618867
India,2013,1214,7.648873104420329,326,2130.562578663852,2623780,3830.5008016162765,28.776561884670578,4,12.870208776376534,191,177,16.454408858261743
Russia,2003,4337,3.823793425028552,245,1714.3366414203158,92996928,146.6137961253031,26.561087912156868,2,52.545856271059,202,22,19.90015990479694
Russia,2018,2850,4.36316527735888,26,1750.3489096451622,89701317,1728.3118642487789,26.791697974791997,1,82.74124956455807,152,27,12.135794446479913
Australia,2004,4260,1.7590975506628643,97,1986.8224557015444,68399654,2586.981372859076,27.71169413220776,4,3.1468997714035774,113,101,5.589841526432925
Brazil,2011,1001,8.695474589300236,367,2591.0802320056137,37854917,2695.323270108002,33.373066045055396,1,16.206414833980098,366,97,9.020321778781458
Russia,2015,2946,3.9208650965797416,391,1857.8420685385613,43554288,4507.460531569821,17.927576914459994,1,47.43936256673612,71,14,22.619418591535098
India,2000,4573,8.380534188135666,498,2728.666981603195,18127685,3702.227147853128,34.42120680196997,1,32.80763684975144,124,123,24.87950540997501
Brazil,2006,2277,9.632006316545663,62,2389.4287655592334,70141484,222.82691610683048,25.891690594661817,3,69.21745497377653,180,92,23.57662138897589
Russia,2009,1834,5.287983107782603,160,2806.890647432356,41705541,1208.2185868558433,57.34480574067866,2,21.30380782080792,433,188,12.216861077795652
Russia,2012,2517,6.484466513702652,48,2142.8957539536714,51227641,4533.572564885638,43.97808354853717,2,92.69221857192258,271,18,16.393388996100878
India,2002,3016,7.657097708853171,416,1472.8824068508868,8845439,3942.063672256301,25.13414239700971,1,3.5146703270315993,58,106,15.573564958032058
Brazil,2012,566,4.1040633251489975,21,1605.3696501867805,16480539,2941.7313634719635,27.566755032017934,4,52.83617019538768,233,52,13.960200694746574
Brazil,2021,1982,2.891513967765424,97,1695.1397700023235,21232951,2434.834685184657,29.798635144145816,3,53.64019190659619,234,0,23.422445529914672
Russia,2002,3965,7.975926988668568,364,2659.835796968694,69996083,1636.4979126101719,42.10955625275158,3,25.927652748719343,81,87,7.611448850529305
Australia,2001,1906,7.881905682005273,475,2808.082278555441,84720385,3966.092040009008,37.48068892225257,1,41.37784033660205,135,112,13.626171334940627
Australia,2002,3640,2.0580769312426797,277,2810.3421364484384,50279138,3856.7466385609214,42.25843353698821,4,17.34795241598528,368,139,18.290436978152794
India,2011,4726,8.308727224542771,396,1843.3166904291656,79966568,3833.3458090998824,28.01384179786864,2,61.42879704340785,231,183,12.244488918699126
Brazil,2019,2907,9.981486062903922,198,1643.922532094411,38704234,842.2038011263558,46.28471087887073,3,44.36040231337747,407,148,22.81187955134645
Indonesia,2020,3769,5.8631375039815214,432,1036.5226064405867,67935191,1683.593276612482,52.03757852008251,2,89.53028651802106,103,113,17.944152365008733
Australia,2008,1471,1.821360334898546,460,2586.744058702363,84980705,3456.6295531961805,48.69388951501206,4,0.8500413336359647,230,81,7.245540385615582
Brazil,2001,4625,9.472336291544599,462,2969.5063117720892,67714202,2054.608152240129,41.761173172993075,1,45.46720089490107,168,87,28.353372943049816
Indonesia,2008,1286,2.6866073935371935,37,2031.030530675043,9222151,1867.057793680887,30.408386840681146,3,37.03500087647515,408,184,6.510260341852829
